 id, Time, Is_CH, who CH, Dist_To_CH, ADV_S, ADV_R, JOIN_S, JOIN_R, SCH_S, SCH_R,Rank, DATA_S, DATA_R, Data_Sent_To_BS, dist_CH_To_BS, send_code ,Expaned Energy
305002,1453,1,305002,0,1,20,0,0,0,0,0,0,0,0,0,0,0.68904
305003,1453,1,305100,0,1,21,0,1,1,0,0,0,241,129,85.19787,0,0.91766
1102029,3553,1,1102100,0,1,26,0,0,0,0,0,0,0,0,0,0,0.00444
1102030,3553,1,1102100,0,1,26,0,0,0,0,0,0,0,0,0,0,0.00445
301052,1753,0,301100,31.56363,0,5,1,0,0,1,9,31,0,0,0,1,0.05632
301073,1753,1,301100,0,1,4,0,41,41,0,0,0,56,31,136.03878,0,1.5236
704098,3153,1,704100,0,1,26,0,0,0,0,0,0,0,4,126.74493,0,0.03192
705000,3203,1,705100,0,1,24,0,0,0,0,0,0,0,1,130.08535,0,0.03056
1401034,1903,1,1401100,0,1,9,0,0,0,0,0,0,0,0,0,0,0.00431
1401054,1903,1,1401100,0,1,9,0,0,0,0,0,0,0,0,0,0,0.0043